YA	A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
YB	B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
YC	C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
YD	D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
YE	E	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
YF	F	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
YG	G	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
YH	H	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
YI	I	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
YJ	J	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
YK	K	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
YL	L	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
YM	M	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
YN	N	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
YO	O	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
YP	P	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
